Timestamp,EC,EC_normal,EC_lower,EC_upper,EC_bias_up,EC_bias_low,EC_drift_up,EC_drift_low,EC_precision,EC_stuck,EC_spike,test_normal,test_bias_up,test_bias_low,test_drift_up,test_drift_low,test_precision,test_stuck,test_spike,serial_normal,serial_bias_up,serial_bias_low,serial_drift_up,serial_drift_low,serial_precision,serial_stuck,serial_spike,EC(t-1),EC(t-2),EC(t-3)
8/30/2023 20:46,1.714117647,1.714117647,1.662694118,1.765541176,2.214117647,1.214117647,1.726917647,1.701317647,1.876622812,2.093627451,2.214117647,1,1,1,0,0,1,1,1,0,1,1,0,0,3,4,5,1.720522876,1.717320261,1.715718954
8/30/2023 20:51,1.72372549,1.72372549,1.672013725,1.775437255,2.22372549,1.22372549,1.73672549,1.71072549,1.994973496,2.093627451,1.72372549,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.714117647,1.720522876,1.717320261
8/30/2023 20:56,1.714117647,1.714117647,1.662694118,1.765541176,2.214117647,1.214117647,1.727317647,1.700917647,1.699715623,2.093627451,1.714117647,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.72372549,1.714117647,1.720522876
8/30/2023 21:01,1.722124183,1.722124183,1.670460458,1.773787908,2.222124183,1.222124183,1.735524183,1.708724183,1.922830763,2.093627451,1.722124183,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.714117647,1.72372549,1.714117647
8/30/2023 21:06,1.722124183,1.722124183,1.670460458,1.773787908,2.222124183,1.222124183,1.735724183,1.708524183,1.794451388,2.093627451,1.722124183,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.722124183,1.714117647,1.72372549
8/30/2023 21:10,1.726928105,1.726928105,1.675120261,1.778735948,2.226928105,1.226928105,1.740728105,1.713128105,1.597904154,2.093627451,1.726928105,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.722124183,1.722124183,1.714117647
8/30/2023 21:15,1.72372549,1.72372549,1.672013725,1.775437255,2.22372549,1.22372549,1.73772549,1.70972549,1.796004611,2.093627451,1.72372549,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.726928105,1.722124183,1.722124183
8/30/2023 21:20,1.72372549,1.72372549,1.672013725,1.775437255,2.22372549,1.22372549,1.73792549,1.70952549,2.031332803,2.093627451,1.72372549,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.72372549,1.726928105,1.722124183
8/30/2023 21:25,1.718921569,1.718921569,1.667353922,1.770489216,2.218921569,1.218921569,1.733321569,1.704521569,1.711756361,2.093627451,2.218921569,1,1,1,0,0,0,1,1,0,1,1,0,0,0,4,5,1.72372549,1.72372549,1.726928105
8/30/2023 21:29,1.720522876,1.720522876,1.66890719,1.772138562,2.220522876,1.220522876,1.735122876,1.705922876,2.033451607,2.093627451,1.720522876,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.718921569,1.72372549,1.72372549
8/30/2023 21:34,1.715718954,1.715718954,1.664247386,1.767190523,2.215718954,1.215718954,1.730518954,1.700918954,1.191769933,2.093627451,1.715718954,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.720522876,1.718921569,1.72372549
8/30/2023 21:39,1.731732026,1.731732026,1.679780065,1.783683987,2.231732026,1.231732026,1.746732026,1.716732026,1.896112527,2.093627451,1.731732026,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.715718954,1.720522876,1.718921569
8/30/2023 21:44,1.726928105,1.726928105,1.675120261,1.778735948,2.226928105,1.226928105,1.742128105,1.711728105,1.744337518,2.093627451,1.726928105,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.731732026,1.715718954,1.720522876
8/30/2023 21:49,1.718921569,1.718921569,1.667353922,1.770489216,2.218921569,1.218921569,1.734321569,1.703521569,1.659120099,2.093627451,1.718921569,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.726928105,1.731732026,1.715718954
